method,coverage,s,n,R2_fs
"VIPER ($A = \{0\}, \chi^2$)",0.952,0,200,0.15
"VIPER ($A = \{0\}$, MC)",0.95,0,200,0.15
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",1,0,200,0.15
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.996,0,200,0.15
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.802,0,200,0.15
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.918,0,200,0.15
TSLS,0.932,0,200,0.15
PGMM-g,0.988,0,200,0.15
gIVBMA,0.95,0,200,0.15
"BudgetIV ($b = 1, \tau = 0$)",1,0,200,0.15
"BudgetIV ($b = 1, \tau = 0.2$)",1,0,200,0.15
CIIV,0.922,0,200,0.15
"VIPER ($A = \{0\}, \chi^2$)",0.744,2,200,0.15
"VIPER ($A = \{0\}$, MC)",0.726,2,200,0.15
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.94,2,200,0.15
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.952,2,200,0.15
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.94,2,200,0.15
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.954,2,200,0.15
TSLS,0.562,2,200,0.15
PGMM-g,0.848,2,200,0.15
gIVBMA,0.912,2,200,0.15
"BudgetIV ($b = 1, \tau = 0$)",0.964,2,200,0.15
"BudgetIV ($b = 1, \tau = 0.2$)",1,2,200,0.15
CIIV,0.578,2,200,0.15
"VIPER ($A = \{0\}, \chi^2$)",0.592,3,200,0.15
"VIPER ($A = \{0\}$, MC)",0.584,3,200,0.15
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.926,3,200,0.15
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.966,3,200,0.15
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.962,3,200,0.15
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.952,3,200,0.15
TSLS,0.394,3,200,0.15
PGMM-g,0.688,3,200,0.15
gIVBMA,0.802,3,200,0.15
"BudgetIV ($b = 1, \tau = 0$)",0.976,3,200,0.15
"BudgetIV ($b = 1, \tau = 0.2$)",1,3,200,0.15
CIIV,0.36,3,200,0.15
"VIPER ($A = \{0\}, \chi^2$)",0.162,5,200,0.15
"VIPER ($A = \{0\}$, MC)",0.37,5,200,0.15
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.79,5,200,0.15
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.906,5,200,0.15
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.996,5,200,0.15
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.992,5,200,0.15
TSLS,0.078,5,200,0.15
PGMM-g,0.272,5,200,0.15
gIVBMA,0.426,5,200,0.15
"BudgetIV ($b = 1, \tau = 0$)",0.964,5,200,0.15
"BudgetIV ($b = 1, \tau = 0.2$)",1,5,200,0.15
CIIV,0.058,5,200,0.15
"VIPER ($A = \{0\}, \chi^2$)",0.84,0,50,0.1
"VIPER ($A = \{0\}$, MC)",0.945,0,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.95,0,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.99,0,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.89,0,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.93,0,50,0.1
TSLS,0.83,0,50,0.1
PGMM-g,0.965,0,50,0.1
gIVBMA,0.975,0,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.995,0,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,0,50,0.1
CIIV,0.815,0,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.78,1,50,0.1
"VIPER ($A = \{0\}$, MC)",0.91,1,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.935,1,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.97,1,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.94,1,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,1,50,0.1
TSLS,0.815,1,50,0.1
PGMM-g,0.945,1,50,0.1
gIVBMA,0.965,1,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1,1,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,1,50,0.1
CIIV,0.765,1,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.74,2,50,0.1
"VIPER ($A = \{0\}$, MC)",0.885,2,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.905,2,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.98,2,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.94,2,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.955,2,50,0.1
TSLS,0.725,2,50,0.1
PGMM-g,0.915,2,50,0.1
gIVBMA,0.975,2,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1,2,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,2,50,0.1
CIIV,0.675,2,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.645,3,50,0.1
"VIPER ($A = \{0\}$, MC)",0.87,3,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.87,3,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.975,3,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.96,3,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.975,3,50,0.1
TSLS,0.61,3,50,0.1
PGMM-g,0.86,3,50,0.1
gIVBMA,0.98,3,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.99,3,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,3,50,0.1
CIIV,0.575,3,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.615,4,50,0.1
"VIPER ($A = \{0\}$, MC)",0.865,4,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.865,4,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.93,4,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.955,4,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.97,4,50,0.1
TSLS,0.59,4,50,0.1
PGMM-g,0.83,4,50,0.1
gIVBMA,0.98,4,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1,4,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,4,50,0.1
CIIV,0.575,4,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.565,5,50,0.1
"VIPER ($A = \{0\}$, MC)",0.84,5,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.825,5,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.92,5,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.965,5,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.985,5,50,0.1
TSLS,0.505,5,50,0.1
PGMM-g,0.82,5,50,0.1
gIVBMA,0.97,5,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.985,5,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,5,50,0.1
CIIV,0.47,5,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.89,0,50,0.25
"VIPER ($A = \{0\}$, MC)",0.925,0,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.975,0,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.98,0,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.875,0,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,0,50,0.25
TSLS,0.915,0,50,0.25
PGMM-g,0.99,0,50,0.25
gIVBMA,0.955,0,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",1,0,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,0,50,0.25
CIIV,0.85,0,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.88,1,50,0.25
"VIPER ($A = \{0\}$, MC)",0.915,1,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.97,1,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.98,1,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.9,1,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,1,50,0.25
TSLS,0.83,1,50,0.25
PGMM-g,0.965,1,50,0.25
gIVBMA,0.965,1,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.995,1,50,0.25
