method,coverage,mil,s,n,R2_fs
"VIPER ($A = \{0\}, \chi^2$)",0.955,0.7129225847812751,0,200,0.15
"VIPER ($A = \{0\}$, MC)",0.94,NaN,0,200,0.15
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",1.0,1.4630556888874238,0,200,0.15
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.995,NaN,0,200,0.15
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.82,1.5790426682312413,0,200,0.15
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.9,NaN,0,200,0.15
TSLS,0.935,0.6225099314566133,0,200,0.15
PGMM-g,0.99,0.8867890642667708,0,200,0.15
gIVBMA,0.95,0.9608685309091818,0,200,0.15
LeakyIV ($\tau = 0.2$),1.0,49.479499570203004,0,200,0.15
"BudgetIV ($b = 1, \tau = 0$)",1.0,4.346999973318717,0,200,0.15
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,7.877169703959467,0,200,0.15
CIIV,0.915,0.6023335097151022,0,200,0.15
"VIPER ($A = \{0\}, \chi^2$)",0.815,0.6858948018294002,2,200,0.15
"VIPER ($A = \{0\}$, MC)",0.75,NaN,2,200,0.15
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.965,1.3163286228384758,2,200,0.15
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.96,NaN,2,200,0.15
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.965,1.4602574077694168,2,200,0.15
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.96,NaN,2,200,0.15
TSLS,0.65,0.5900822027192949,2,200,0.15
PGMM-g,0.895,0.8604687617065482,2,200,0.15
gIVBMA,0.93,0.9728404828364783,2,200,0.15
LeakyIV ($\tau = 0.2$),1.0,49.28722484129435,2,200,0.15
"BudgetIV ($b = 1, \tau = 0$)",1.0,4.785830751366713,2,200,0.15
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,8.677089004905111,2,200,0.15
CIIV,0.54,0.5631788903564157,2,200,0.15
"VIPER ($A = \{0\}, \chi^2$)",0.58,0.6601666180672061,3,200,0.15
"VIPER ($A = \{0\}$, MC)",0.55,NaN,3,200,0.15
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.92,1.2666194171082819,3,200,0.15
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.96,NaN,3,200,0.15
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.975,1.3319527207596051,3,200,0.15
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.975,NaN,3,200,0.15
TSLS,0.385,0.5617130101914505,3,200,0.15
PGMM-g,0.685,0.8314043153431716,3,200,0.15
gIVBMA,0.835,1.0013076050645862,3,200,0.15
LeakyIV ($\tau = 0.2$),1.0,49.918236444557365,3,200,0.15
"BudgetIV ($b = 1, \tau = 0$)",1.0,4.820536847642067,3,200,0.15
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,8.770185960150814,3,200,0.15
CIIV,0.36,0.568822175343155,3,200,0.15
"VIPER ($A = \{0\}, \chi^2$)",0.125,0.5966047792762459,5,200,0.15
"VIPER ($A = \{0\}$, MC)",0.345,NaN,5,200,0.15
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.78,1.3731687222564002,5,200,0.15
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.935,NaN,5,200,0.15
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.995,1.4061577980284379,5,200,0.15
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.99,NaN,5,200,0.15
TSLS,0.055,0.5412232252805924,5,200,0.15
PGMM-g,0.235,0.8089042362774952,5,200,0.15
gIVBMA,0.42,0.7249919080803966,5,200,0.15
LeakyIV ($\tau = 0.2$),1.0,49.449736059657326,5,200,0.15
"BudgetIV ($b = 1, \tau = 0$)",1.0,4.628011997217014,5,200,0.15
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,8.308502050686013,5,200,0.15
CIIV,0.075,0.546716803974783,5,200,0.15
"VIPER ($A = \{0\}, \chi^2$)",0.76,1.5007440959656237,0,50,0.1
"VIPER ($A = \{0\}$, MC)",0.93,NaN,0,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.93,1.8729880396117884,0,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.99,NaN,0,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.86,2.0857083925462003,0,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.89,NaN,0,50,0.1
TSLS,0.84,1.1911629620050548,0,50,0.1
PGMM-g,0.96,1.7437924340818909,0,50,0.1
gIVBMA,0.98,1.9883756980657212,0,50,0.1
LeakyIV ($\tau = 0.2$),1.0,56.32048884910166,0,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,26.4944476775074,0,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,37.560569998869966,0,50,0.1
CIIV,0.79,1.15587357581913,0,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.79,1.3430279190825711,1,50,0.1
"VIPER ($A = \{0\}$, MC)",0.95,NaN,1,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.92,2.0478980563872358,1,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.99,NaN,1,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.95,2.2066735003303597,1,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.96,NaN,1,50,0.1
TSLS,0.72,1.1366390432867532,1,50,0.1
PGMM-g,0.94,1.6561113724653191,1,50,0.1
gIVBMA,0.99,2.145002320392073,1,50,0.1
LeakyIV ($\tau = 0.2$),1.0,52.49379172915926,1,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,23.914778308538786,1,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,32.895670458728574,1,50,0.1
CIIV,0.8,1.1327366668186918,1,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.8,1.4445203125895913,2,50,0.1
"VIPER ($A = \{0\}$, MC)",0.95,NaN,2,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.95,2.126958054369873,2,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.99,NaN,2,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.98,2.2134332327779727,2,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.98,NaN,2,50,0.1
TSLS,0.72,1.1444806700598644,2,50,0.1
PGMM-g,0.96,1.6544968824665247,2,50,0.1
gIVBMA,0.96,2.1639696199173395,2,50,0.1
LeakyIV ($\tau = 0.2$),1.0,54.302028769397396,2,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,30.890723814761465,2,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,44.12179574340371,2,50,0.1
CIIV,0.67,1.13974237632769,2,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.65,1.5028968613534641,3,50,0.1
"VIPER ($A = \{0\}$, MC)",0.9,NaN,3,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.87,1.9405088771178354,3,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.96,NaN,3,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.94,2.1376505311185254,3,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.97,NaN,3,50,0.1
TSLS,0.65,1.2081880204099336,3,50,0.1
PGMM-g,0.86,1.755426668183092,3,50,0.1
gIVBMA,0.96,2.2344242014595004,3,50,0.1
LeakyIV ($\tau = 0.2$),1.0,55.09457281459406,3,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,25.294587970275444,3,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,36.19137367595185,3,50,0.1
CIIV,0.62,1.1330284176785603,3,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.51,1.3427202450606635,4,50,0.1
"VIPER ($A = \{0\}$, MC)",0.78,NaN,4,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.81,1.7388281737265066,4,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.9,NaN,4,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.92,2.1097438338694285,4,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.93,NaN,4,50,0.1
TSLS,0.41,1.068245677574356,4,50,0.1
PGMM-g,0.73,1.5338652591016255,4,50,0.1
gIVBMA,0.97,2.4178143177357314,4,50,0.1
LeakyIV ($\tau = 0.2$),1.0,52.23645860903626,4,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,21.354142609863462,4,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,30.85519815824431,4,50,0.1
CIIV,0.48,1.1291990580805331,4,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.54,1.3688221097382463,5,50,0.1
"VIPER ($A = \{0\}$, MC)",0.84,NaN,5,50,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.83,1.7259369377899882,5,50,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.97,NaN,5,50,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.95,2.0768042738710335,5,50,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.98,NaN,5,50,0.1
TSLS,0.45,1.1610076343298161,5,50,0.1
PGMM-g,0.76,1.6826031979569378,5,50,0.1
gIVBMA,0.98,2.507251037098908,5,50,0.1
LeakyIV ($\tau = 0.2$),1.0,52.4633375251875,5,50,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,27.133643248599956,5,50,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,38.439473209309625,5,50,0.1
CIIV,0.38,1.0653917953728869,5,50,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.95,0.9703062998825182,0,50,0.25
"VIPER ($A = \{0\}$, MC)",0.96,NaN,0,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.99,1.3597259696074349,0,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",1.0,NaN,0,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.9,1.4777178876398345,0,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.98,NaN,0,50,0.25
TSLS,0.91,0.8083312184028133,0,50,0.25
PGMM-g,0.96,1.1586229457686956,0,50,0.25
gIVBMA,0.95,1.6262728835083973,0,50,0.25
LeakyIV ($\tau = 0.2$),1.0,37.950045274282616,0,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,9.414040036582765,0,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,13.392813302294222,0,50,0.25
CIIV,0.9,0.8000834463070149,0,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.92,1.0080772073326945,1,50,0.25
"VIPER ($A = \{0\}$, MC)",0.94,NaN,1,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.96,1.435731325276348,1,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.97,NaN,1,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.86,1.5287103726602531,1,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.91,NaN,1,50,0.25
TSLS,0.84,0.8359666699491812,1,50,0.25
PGMM-g,0.99,1.1841100243838967,1,50,0.25
gIVBMA,0.97,1.6416362379903933,1,50,0.25
LeakyIV ($\tau = 0.2$),1.0,35.60550871589484,1,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,9.454952556278279,1,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,13.711491733903765,1,50,0.25
CIIV,0.79,0.7907026839573972,1,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.83,1.0000267724831464,2,50,0.25
"VIPER ($A = \{0\}$, MC)",0.89,NaN,2,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.94,1.3926390439523095,2,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.96,NaN,2,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.94,1.5202947888899279,2,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.97,NaN,2,50,0.25
TSLS,0.78,0.8462322367777397,2,50,0.25
PGMM-g,0.92,1.2033782744474233,2,50,0.25
gIVBMA,0.96,1.7984990591100112,2,50,0.25
LeakyIV ($\tau = 0.2$),1.0,35.1539581563049,2,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,10.989162283520184,2,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,15.492231962331616,2,50,0.25
CIIV,0.77,0.7894240034037663,2,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.74,0.9857437653389103,3,50,0.25
"VIPER ($A = \{0\}$, MC)",0.9,NaN,3,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.91,1.4501927607913525,3,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.94,NaN,3,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.95,1.548464603685285,3,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.96,NaN,3,50,0.25
TSLS,0.68,0.8189164220121503,3,50,0.25
PGMM-g,0.9,1.1887447516215754,3,50,0.25
gIVBMA,0.97,1.833590870374648,3,50,0.25
LeakyIV ($\tau = 0.2$),1.0,35.393825214078646,3,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,10.744529077812743,3,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,14.71135632463329,3,50,0.25
CIIV,0.6,0.7621138578901352,3,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.68,0.8908227989040685,4,50,0.25
"VIPER ($A = \{0\}$, MC)",0.77,NaN,4,50,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.81,1.359910380514531,4,50,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.91,NaN,4,50,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.97,1.4177546143415674,4,50,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.97,NaN,4,50,0.25
TSLS,0.56,0.7532428192303195,4,50,0.25
PGMM-g,0.8,1.0814069105787936,4,50,0.25
gIVBMA,0.89,1.7633097354012697,4,50,0.25
LeakyIV ($\tau = 0.2$),1.0,34.21667110172227,4,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,10.983336087690432,4,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,15.061665997266529,4,50,0.25
CIIV,0.47,0.7159564204335722,4,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.62,0.8865316173031184,5,50,0.25
"VIPER ($A = \{0\}$, MC)",0.86,NaN,5,50,0.25
