Method,Scenario,Coverage,MIL
"VIPER ($A = \{0\}, \chi^2$-Appr.)",α = 0.0,0.928,0.40056027524233756
"VIPER ($A = \{0\}$, MC)",α = 0.0,0.93,NaN
"VIPER ($A = [-0.5, 0.5], \chi^2$-Appr.)",α = 0.0,1.0,1.4829541866300588
"VIPER ($A = [-0.5, 0.5]$, MC)",α = 0.0,1.0,NaN
"VIPER ($A = [0.0, 0.5], \chi^2$-Appr.)",α = 0.0,0.956,0.9906093054175225
"VIPER ($A = [0.0, 0.5]$, MC)",α = 0.0,0.934,NaN
TSLS,α = 0.0,0.936,0.39265115859572836
PGMM-g,α = 0.0,0.994,0.5579658533858091
BudgetIV ($\tau = 0$),α = 0.0,1.0,0.6940271888049021
BudgetIV ($\tau = 0.5$),α = 0.0,1.0,1.715267293967427
"VIPER ($A = \{0\}, \chi^2$-Appr.)",α = 0.25,0.33,0.3650300279361659
"VIPER ($A = \{0\}$, MC)",α = 0.25,0.334,NaN
"VIPER ($A = [-0.5, 0.5], \chi^2$-Appr.)",α = 0.25,1.0,1.477828135745278
"VIPER ($A = [-0.5, 0.5]$, MC)",α = 0.25,1.0,NaN
"VIPER ($A = [0.0, 0.5], \chi^2$-Appr.)",α = 0.25,1.0,0.9462995561350118
"VIPER ($A = [0.0, 0.5]$, MC)",α = 0.25,1.0,NaN
TSLS,α = 0.25,0.28,0.35955580978971935
PGMM-g,α = 0.25,0.574,0.5365488612933105
BudgetIV ($\tau = 0$),α = 0.25,1.0,0.6897840954701293
BudgetIV ($\tau = 0.5$),α = 0.25,1.0,1.7117016968929029
"VIPER ($A = \{0\}, \chi^2$-Appr.)",α = 0.5,0.006,0.34971227726992404
"VIPER ($A = \{0\}$, MC)",α = 0.5,0.006,NaN
"VIPER ($A = [-0.5, 0.5], \chi^2$-Appr.)",α = 0.5,0.984,1.459431045517409
"VIPER ($A = [-0.5, 0.5]$, MC)",α = 0.5,0.962,NaN
"VIPER ($A = [0.0, 0.5], \chi^2$-Appr.)",α = 0.5,0.984,0.9055216298380213
"VIPER ($A = [0.0, 0.5]$, MC)",α = 0.5,0.962,NaN
TSLS,α = 0.5,0.004,0.34326288651352854
PGMM-g,α = 0.5,0.024,0.5284438492190857
BudgetIV ($\tau = 0$),α = 0.5,1.0,0.6835060917710283
BudgetIV ($\tau = 0.5$),α = 0.5,1.0,1.6892989743261189
