Method,Scenario,Coverage,MIL
"VIPER ($A = \{0\}, \chi^2$)",α = 0.0,0.955,0.41871914141635885
"VIPER ($A = \{0\}$, MC)",α = 0.0,0.965,NaN
"VIPER ($A = [-0.5, 0.5], \chi^2$)",α = 0.0,1.0,1.5353626168553605
"VIPER ($A = [-0.5, 0.5]$, MC)",α = 0.0,1.0,NaN
"VIPER ($A = [0.0, 0.5], \chi^2$)",α = 0.0,0.97,1.0259519157938481
"VIPER ($A = [0.0, 0.5]$, MC)",α = 0.0,0.945,NaN
TSLS,α = 0.0,0.955,0.4095907759972466
PGMM-g,α = 0.0,1.0,0.581366254123409
BudgetIV ($\tau = 0$),α = 0.0,1.0,0.6954367089385758
BudgetIV ($\tau = 0.5$),α = 0.0,1.0,1.716435123711509
"VIPER ($A = \{0\}, \chi^2$)",α = 0.25,0.35,0.36827427740839225
"VIPER ($A = \{0\}$, MC)",α = 0.25,0.355,NaN
"VIPER ($A = [-0.5, 0.5], \chi^2$)",α = 0.25,1.0,1.4874737073893107
"VIPER ($A = [-0.5, 0.5]$, MC)",α = 0.25,1.0,NaN
"VIPER ($A = [0.0, 0.5], \chi^2$)",α = 0.25,1.0,0.9557130886310903
"VIPER ($A = [0.0, 0.5]$, MC)",α = 0.25,1.0,NaN
TSLS,α = 0.25,0.3,0.36131065296552345
PGMM-g,α = 0.25,0.565,0.5377927137190748
BudgetIV ($\tau = 0$),α = 0.25,1.0,0.6801052523438456
BudgetIV ($\tau = 0.5$),α = 0.25,1.0,1.6840798277655091
"VIPER ($A = \{0\}, \chi^2$)",α = 0.5,0.0,0.3444626368671063
"VIPER ($A = \{0\}$, MC)",α = 0.5,0.0,NaN
"VIPER ($A = [-0.5, 0.5], \chi^2$)",α = 0.5,0.975,1.4616946802805766
"VIPER ($A = [-0.5, 0.5]$, MC)",α = 0.5,0.96,NaN
"VIPER ($A = [0.0, 0.5], \chi^2$)",α = 0.5,0.975,0.9052164423965043
"VIPER ($A = [0.0, 0.5]$, MC)",α = 0.5,0.955,NaN
TSLS,α = 0.5,0.0,0.33970001556390583
PGMM-g,α = 0.5,0.015,0.5124299931036888
BudgetIV ($\tau = 0$),α = 0.5,1.0,0.6929853365806569
BudgetIV ($\tau = 0.5$),α = 0.5,1.0,1.708274942786975
