Method,Scenario,Coverage,MIL
"VIPER ($A = \{0\}, \chi^2$)",α = 0.0,0.935,1.2820253708165374
"VIPER ($A = \{0\}$, MC)",α = 0.0,0.945,NaN
"VIPER ($A = [-0.5, 0.5], \chi^2$)",α = 0.0,1.0,2.383086424020413
"VIPER ($A = [-0.5, 0.5]$, MC)",α = 0.0,1.0,NaN
"VIPER ($A = [0.0, 0.5], \chi^2$)",α = 0.0,0.975,1.9354708450606146
"VIPER ($A = [0.0, 0.5]$, MC)",α = 0.0,0.945,NaN
TSLS,α = 0.0,0.95,1.118703589855087
PGMM-g,α = 0.0,0.96,1.161202772464319
BudgetIV ($\tau = 0$),α = 0.0,1.0,1.9416221433594711
BudgetIV ($\tau = 0.5$),α = 0.0,1.0,2.9848330723332617
"VIPER ($A = \{0\}, \chi^2$)",α = 0.25,0.865,1.1361549376066034
"VIPER ($A = \{0\}$, MC)",α = 0.25,0.86,NaN
"VIPER ($A = [-0.5, 0.5], \chi^2$)",α = 0.25,1.0,2.273584422803619
"VIPER ($A = [-0.5, 0.5]$, MC)",α = 0.25,0.99,NaN
"VIPER ($A = [0.0, 0.5], \chi^2$)",α = 0.25,1.0,1.807402816903292
"VIPER ($A = [0.0, 0.5]$, MC)",α = 0.25,0.99,NaN
TSLS,α = 0.25,0.775,1.058314208104577
PGMM-g,α = 0.25,0.825,1.0415617775749175
BudgetIV ($\tau = 0$),α = 0.25,1.0,1.7405234603380542
BudgetIV ($\tau = 0.5$),α = 0.25,1.0,2.742639194440552
"VIPER ($A = \{0\}, \chi^2$)",α = 0.5,0.555,1.0624299554797545
"VIPER ($A = \{0\}$, MC)",α = 0.5,0.58,NaN
"VIPER ($A = [-0.5, 0.5], \chi^2$)",α = 0.5,0.95,2.0698024258710745
"VIPER ($A = [-0.5, 0.5]$, MC)",α = 0.5,0.935,NaN
"VIPER ($A = [0.0, 0.5], \chi^2$)",α = 0.5,0.95,1.7058191094898278
"VIPER ($A = [0.0, 0.5]$, MC)",α = 0.5,0.935,NaN
TSLS,α = 0.5,0.43,0.965411022973659
PGMM-g,α = 0.5,0.48,0.9809731583620848
BudgetIV ($\tau = 0$),α = 0.5,1.0,1.963058795660767
BudgetIV ($\tau = 0.5$),α = 0.5,1.0,2.9832816844956898
